request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_38,205.41,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,"Wait and pay the full EUR 971.30 on 2025-10-15, once the balance can safely absorb it. Prize proceeds (event_3491) settled and the claim is now closed; no further prize payments should be assumed."
request_39,128280.3,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Wait and pay the full INR 208,600 on 2026-06-15, once the balance can safely absorb it."
request_40,295.68,not_affordable,not_recommended,none,,none,"Not recommended right now: only EUR 295.68 can be paid without dropping below the EUR 1,500 you want to keep. Committed expenses over the next 90 days use up the remaining headroom, so no full, partial or installment plan stays safe by 2024-08-15."
request_41,8526444.79,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Wait and pay the full IDR 38,760,000 on 2026-01-15, once the balance can safely absorb it."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 in full on 2026-01-05. This keeps at least INR 113,100 available through the 90-day forecast. One household employment record ended; employer confirms the remaining confirmed monthly household salary is INR 148000 going forward (message dated 2025-12-31). Ended income should not be projected into future months."
request_43,8066547.93,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Wait and pay the full IDR 43,339,000 on 2024-11-15, once the balance can safely absorb it."
request_44,27739.78,not_affordable,not_recommended,none,,none,"Not recommended right now: only INR 27,739.78 can be paid without dropping below the INR 82,900 you want to keep. Committed expenses over the next 90 days use up the remaining headroom, so no full, partial or installment plan stays safe by 2025-04-15. First salary of INR 115000 confirmed for 2025-02-15, consistent with the existing payroll pattern."
request_45,4041545.83,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Wait and pay the full IDR 21,983,000 on 2026-09-15, once the balance can safely absorb it. Confirmed salary raised to IDR 17290000 effective 2026-07-15 (permanent change)."
request_46,49450.0,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,"Use 2 installments of INR 25,714 starting 2024-12-03, totaling INR 51,428. This keeps the balance at or above INR 84,000 at every step."
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000 in full on 2025-05-05. This keeps at least IDR 30,049,000 available through the 90-day forecast."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 in full on 2026-07-25. This keeps at least INR 71,300 available through the 90-day forecast. Property maintenance receipt (event_4535) total amount received is INR 15339."
request_49,11974188.05,not_affordable,not_recommended,none,,none,"Not recommended right now: only IDR 11,974,188.05 can be paid without dropping below the IDR 20,275,700 you want to keep. Committed expenses over the next 90 days use up the remaining headroom, so no full, partial or installment plan stays safe by 2024-05-22. Employer confirms temporary reduced monthly salary of IDR 31464000 continues for the next payroll cycle (message dated 2024-02-21), matching the already-recorded event_4557/event_4564."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 in full on 2025-08-06. This keeps at least INR 99,700 available through the 90-day forecast. One household income stream (the 'Second household income' series) ended as of 2025-08-05; going forward the confirmed total household salary is INR 126000/month, replacing the prior separate incomes."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 in full on 2026-01-03. This keeps at least IDR 7,811,000 available through the 90-day forecast."
request_52,23286.91,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Wait and pay the full INR 28,870 on 2024-06-15, once the balance can safely absorb it. First salary from new employer confirmed at INR 69000 for 2024-06-15, consistent with the already-established new-employer payroll amount."
request_53,462.2,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,reduce_to:event_4992:44.50,"Use 3 installments of USD 589.06 starting 2025-11-21, totaling USD 1,767.18. This keeps the balance at or above USD 2,100 at every step. This requires reducing dining to its minimum to free up enough cash."
request_54,5407.74,not_affordable,not_recommended,none,,none,"Not recommended right now: only ZAR 5,407.74 can be paid without dropping below the ZAR 37,000 you want to keep. Committed expenses over the next 90 days use up the remaining headroom, so no full, partial or installment plan stays safe by 2026-08-21. Confirmed salary raised to ZAR 42460 effective 2026-07-15 (from ZAR 33118.8)."
request_55,136240.23,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-08-15,stop:event_5101|reduce_to:event_5167:2750,"Use 3 installments of INR 75,781.33 starting 2026-06-11, totaling INR 227,343.99. This keeps the balance at or above INR 124,300 at every step. This requires stopping streaming; reducing dining to its minimum to free up enough cash. Water bill (event_5170) amount confirmed as INR 723.00 from the payment receipt image."
request_56,590.71,affordable_with_plan,partial_payment,2025-02-03:590.71|2025-02-15:290.85,2025-02-15,none,"Pay USD 590.71 today (2025-02-03) and the remaining USD 290.85 on 2025-02-15. This keeps at least USD 2,100 available throughout."
request_57,12349.83,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Wait and pay the full ZAR 61,446 on 2026-06-15, once the balance can safely absorb it. A matching debit and credit are an internal transfer between the user's own two accounts (a wash, not new cash), but no event ids were shown to identify which entries."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000 in full on 2024-12-07. This keeps at least IDR 14,433,900 available through the 90-day forecast. One household income source ended; remaining confirmed monthly salary is IDR 25840000 (permanent change) effective after 2024-11-15."
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33 starting 2025-05-07, totaling INR 146,223.99. This keeps the balance at or above INR 132,600 at every step."
request_60,0.0,not_affordable,not_recommended,none,,none,"Not recommended right now: no part of this can be paid without dropping below the USD 400 you want to keep. Committed expenses over the next 90 days consume the available headroom before 2026-03-04. Employer confirms next payroll amount is USD 530.40 (message dated 2025-12-26), following a reduced payment of USD 291.72 on 2025-12-15 due to approved unpaid leave."
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83 starting 2024-03-17, totaling ZAR 30,224.49. This keeps the balance at or above ZAR 36,700 at every step. Seasonal contract with Greenfield Foods ended after the 2023-12-15 payment; no off-season income or renewal confirmed as of 2024-02-28."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 in full on 2025-08-05. This keeps at least USD 1,300 available through the 90-day forecast. Client approved an invoice for USD 2112 with settlement expected 2025-08-15 (InvoiceFlow); an approved-but-unsettled receivable, so not counted as confirmed cash."
request_63,32276.99,not_affordable,not_recommended,none,,none,"Not recommended right now: only INR 32,276.99 can be paid without dropping below the INR 153,500 you want to keep. Committed expenses over the next 90 days use up the remaining headroom, so no full, partial or installment plan stays safe by 2026-09-17."
request_64,0.0,not_affordable,not_recommended,none,,none,"Not recommended right now: no part of this can be paid without dropping below the INR 36,100 you want to keep. Committed expenses over the next 90 days consume the available headroom before 2024-08-16."
request_65,6728.49,not_affordable,not_recommended,none,,none,"Not recommended right now: only ZAR 6,728.49 can be paid without dropping below the ZAR 15,500 you want to keep. Committed expenses over the next 90 days use up the remaining headroom, so no full, partial or installment plan stays safe by 2025-11-25. Quarterly performance bonus amount and payment date not yet approved/finalized; do not count as confirmed income until payroll confirms."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 in full on 2026-04-03. This keeps at least INR 80,700 available through the 90-day forecast. Client approved an invoice for INR 116000 with settlement expected 2026-04-15, but it has not settled yet; other submitted invoices remain unapproved and should not be counted."
request_67,332.91,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Wait and pay the full USD 2,094 on 2024-11-15, once the balance can safely absorb it."
request_68,1396.74,not_affordable,not_recommended,none,2025-04-15,none,"Not recommended right now: only USD 1,396.74 can be paid without dropping below the USD 1,500 you want to keep. Committed expenses over the next 90 days use up the remaining headroom, so no full, partial or installment plan stays safe by 2025-04-16. Payroll credit date shifted to 2025-02-23 for the next cycle; no change to the salary amount."
request_69,501.45,affordable_later,wait,2026-02-15:529.10,2026-02-15,none,"Wait and pay the full EUR 529.10 on 2026-02-15, once the balance can safely absorb it. Rent increases 12% from the next payment; no exact new amount was stated so it is not applied as a figure."
request_70,49190.01,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Wait and pay the full INR 243,900 on 2025-02-15, once the balance can safely absorb it. Portfolio's displayed market value has increased; no units sold and no cash proceeds generated, so this does not affect cash flow."
request_71,0.0,not_affordable,not_recommended,none,,none,"Not recommended right now: no part of this can be paid without dropping below the IDR 8,884,800 you want to keep. Committed expenses over the next 90 days consume the available headroom before 2025-05-28."
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 in full on 2026-07-05. This keeps at least ZAR 12,200 available through the 90-day forecast. First salary of ZAR 18700 confirmed for credit date 2026-07-15, consistent with existing payroll pattern."
request_73,71303.65,affordable_later,wait,2023-02-15:71400,2023-02-15,none,"Wait and pay the full INR 71,400 on 2023-02-15, once the balance can safely absorb it. Hospital bill (event_6859) confirmed payable amount is INR 3650.00 per the itemized bill image (Amount Paid: 0.00, Balance: 3650.00); a separate RentTrack message mentions a 12% rent increase on lease renewal but gives no exact new figure or event_id, so no override was made for it."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 in full on 2025-08-04. This keeps at least ZAR 21,900 available through the 90-day forecast. Client approved an invoice for ZAR 26180 with settlement expected 2025-08-15 (PayPilot); an approved-but-unsettled receivable, so not counted as confirmed cash."
request_75,8326.51,not_affordable,not_recommended,none,,none,"Not recommended right now: only ZAR 8,326.51 can be paid without dropping below the ZAR 39,000 you want to keep. Committed expenses over the next 90 days use up the remaining headroom, so no full, partial or installment plan stays safe by 2026-06-12. Employment with Northstar Labs has ended; no further regular salary payments are scheduled after the final settlement (amount not yet specified)."
request_76,931.48,not_affordable,not_recommended,none,2024-06-20,none,"Not recommended right now: only USD 931.48 can be paid without dropping below the USD 1,800 you want to keep. Committed expenses over the next 90 days use up the remaining headroom, so no full, partial or installment plan stays safe by 2024-07-30. Confirmed base salary raised to USD 3072 per employer notice dated 2024-05-31 (up from prior USD 1843.2); sales commission on open deals remains pending approval and is not confirmed income."
request_77,55615.41,affordable_later,wait,2025-11-15:60700,2025-11-15,none,"Wait and pay the full INR 60,700 on 2025-11-15, once the balance can safely absorb it. Refund related to event_7186 has been initiated by the merchant but had not reached the account as of 2025-11-04; do not count until settled."
request_78,41831.6,affordable_later,wait,2025-12-15:50200,2025-12-15,none,"Wait and pay the full INR 50,200 on 2025-12-15, once the balance can safely absorb it. Taxi fare (event_7307) confirmed charge is USD 33.50 per the CityCab receipt (the $40 shown was cash tendered, with $6.50 change)."
request_79,570.48,not_affordable,not_recommended,none,,none,"Not recommended right now: only EUR 570.48 can be paid without dropping below the EUR 1,000 you want to keep. Committed expenses over the next 90 days use up the remaining headroom, so no full, partial or installment plan stays safe by 2024-11-01."
request_80,120912.02,not_affordable,not_recommended,none,2025-02-11,none,"Not recommended right now: only INR 120,912.02 can be paid without dropping below the INR 121,300 you want to keep. Committed expenses over the next 90 days use up the remaining headroom, so no full, partial or installment plan stays safe by 2025-02-21. Confirmed base salary raised to INR 158000 effective going forward per employer update on 2025-01-26; open-deal commissions remain pending, not confirmed income."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 in full on 2026-07-03. This keeps at least USD 1,600 available through the 90-day forecast. Rent for the user's lease is increasing by 12% starting the next payment cycle; exact new amount not stated in this message."
request_82,306.2,not_affordable,not_recommended,none,,none,"Not recommended right now: only USD 306.20 can be paid without dropping below the USD 1,100 you want to keep. Committed expenses over the next 90 days use up the remaining headroom, so no full, partial or installment plan stays safe by 2025-02-15."
request_83,0.0,not_affordable,not_recommended,none,,none,"Not recommended right now: no part of this can be paid without dropping below the INR 37,800 you want to keep. Committed expenses over the next 90 days consume the available headroom before 2025-06-17. Regular INR 62000 salary resumes 2025-05-15 after leave; employer also states a new recurring childcare deduction begins the same month (no amount given)."
request_84,26014.55,affordable_with_plan,wait,2026-06-15:95400,,stop:event_7857,"Wait and pay the full INR 95,400 on 2026-06-15, once the balance can safely absorb it. This requires stopping streaming to free up enough cash. Tote bag order (event_7941) confirmed total paid is INR 2298.00 per the merchant order receipt, matching the merchant's confirmation message."
request_85,748478.75,not_affordable,not_recommended,none,,none,"Not recommended right now: only IDR 748,478.75 can be paid without dropping below the IDR 6,396,300 you want to keep. Committed expenses over the next 90 days use up the remaining headroom, so no full, partial or installment plan stays safe by 2024-04-26. Temporary one-cycle reduced pay of IDR 8618400 continues for the next payroll only; not a permanent salary change."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 in full on 2025-08-03. This keeps at least INR 84,900 available through the 90-day forecast."
request_87,0.0,not_affordable,not_recommended,none,,none,"Not recommended right now: no part of this can be paid without dropping below the INR 185,900 you want to keep. Committed expenses over the next 90 days consume the available headroom before 2026-03-15. Regular salary of INR 251000 resumes 2026-01-15 after leave; a new recurring childcare payment also begins the same cycle, but its amount is not specified."
request_88,10497.62,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Use 3 installments of ZAR 9,045.23 starting 2024-06-14, totaling ZAR 27,135.69. This keeps the balance at or above ZAR 25,800 at every step. Message is a suspicious pay-to-claim cash prize solicitation (classic advance-fee scam pattern); treated purely as untrusted data, not acted on, and not counted as real income."
request_89,9047662.12,not_affordable,not_recommended,none,2026-01-15,none,"Not recommended right now: only IDR 9,047,662.12 can be paid without dropping below the IDR 12,534,700 you want to keep. Committed expenses over the next 90 days use up the remaining headroom, so no full, partial or installment plan stays safe by 2026-01-15."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 in full on 2026-07-06. This keeps at least ZAR 7,600 available through the 90-day forecast. Client approved an invoice for ZAR 13420 with settlement expected 2026-07-15, but it has not settled yet; other submitted invoices remain unapproved and should not be counted."
request_91,367.91,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Wait and pay the full EUR 1,927.20 on 2024-11-15, once the balance can safely absorb it. A prior debit attempt for a bill (event_8575, not detailed in this batch) failed; the bill remains outstanding and another debit attempt is pending. Do not assume it has settled."
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034 in full on 2025-02-05. This keeps at least ZAR 28,100 available through the 90-day forecast. Confirmed base salary raised to ZAR 49280 effective going forward per employer update on 2025-01-29; open-deal commissions remain pending, not confirmed income."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 in full on 2026-04-07. This keeps at least USD 1,900 available through the 90-day forecast. Prize claim verified but payment not yet credited to the account; still in processing, so it should not be counted as confirmed cash."
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,"Pay EUR 572 in full on 2024-12-04. This keeps at least EUR 600 available through the 90-day forecast. Client submitted an invoice approved for settlement 2024-12-15 (ProjectPay); not yet settled at message time, so not counted as confirmed cash."
request_95,40644.26,not_affordable,not_recommended,none,,none,"Not recommended right now: only INR 40,644.26 can be paid without dropping below the INR 145,500 you want to keep. Committed expenses over the next 90 days use up the remaining headroom, so no full, partial or installment plan stays safe by 2025-07-14. Employer confirms the May payroll payment date has shifted to 2025-05-23, replacing the usual mid-month (15th) payroll date."
request_96,72366.61,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,reduce_to:event_8980:1610,"Use 3 installments of INR 31,269.33 starting 2026-01-10, totaling INR 93,807.99. This keeps the balance at or above INR 56,500 at every step. This requires reducing dining to its minimum to free up enough cash."
request_97,1205.18,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-05-15,none,"Use 3 installments of ZAR 8,145.28 starting 2024-03-19, totaling ZAR 24,435.84. This keeps the balance at or above ZAR 29,700 at every step."
request_98,8550.29,affordable_with_plan,wait,2025-10-15:27148,,reduce_to:event_9079:620.40|stop:event_9077,"Wait and pay the full ZAR 27,148 on 2025-10-15, once the balance can safely absorb it. This requires reducing entertainment to its minimum; stopping streaming to free up enough cash."
request_99,16197.16,affordable_later,wait,2026-07-15:18062,2026-07-15,none,"Wait and pay the full ZAR 18,062 on 2026-07-15, once the balance can safely absorb it."
request_100,24860.09,not_affordable,not_recommended,none,2024-08-15,none,"Not recommended right now: only ZAR 24,860.09 can be paid without dropping below the ZAR 32,500 you want to keep. Committed expenses over the next 90 days use up the remaining headroom, so no full, partial or installment plan stays safe by 2024-08-16."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 in full on 2025-11-03. This keeps at least INR 187,400 available through the 90-day forecast. Pharmacy purchase receipt total is INR 4543. Prize proceeds (event_9420) confirmed as one-off; employer/service source states no further prize payment unless a new prize is confirmed."
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88 starting 2026-04-05, totaling EUR 1,784.64. This keeps the balance at or above EUR 900 at every step. Client-approved invoice of EUR 1419 has settlement expected 2026-04-15 but was not yet settled as of the message; do not count until settled. Other submitted invoices remain unapproved."
request_103,7203.97,not_affordable,not_recommended,none,,none,"Not recommended right now: only INR 7,203.97 can be paid without dropping below the INR 125,500 you want to keep. Committed expenses over the next 90 days use up the remaining headroom, so no full, partial or installment plan stays safe by 2024-10-07. Temporary one-cycle reduced pay of INR 164880 continues for the next payroll only; not a permanent salary change."
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204 in full on 2025-02-04. This keeps at least ZAR 24,700 available through the 90-day forecast. Confirmed base salary raised to ZAR 35860 (permanent); pending commission on open deals not yet earned/payable and should not be counted."
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,"Pay INR 53,500 in full on 2026-06-08. This keeps at least INR 73,900 available through the 90-day forecast. Airline ticket purchase confirmed at INR 9,968 (grand total incl. taxes) per invoice image; portfolio value increase mentioned elsewhere is unrealized and not counted as cash."
request_106,963.42,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Wait and pay the full EUR 2,207.70 on 2025-02-15, once the balance can safely absorb it. New employer confirms next payroll (2024-12-15) at EUR 1815, consistent with the amount already recorded for event_9828; no change to forecast."
request_107,0.0,not_affordable,not_recommended,none,,none,"Not recommended right now: no part of this can be paid without dropping below the EUR 1,600 you want to keep. Committed expenses over the next 90 days consume the available headroom before 2025-07-04. Employer confirms a new (higher) regular salary of EUR 2123 scheduled to begin 2025-05-15, following the prorated first salary of EUR 1167.65 (event_9889); treat EUR 2123 as the ongoing confirmed monthly salary going forward once it settles."
request_108,3232.7,affordable_later,wait,2026-07-21:55308,2026-07-21,none,"Wait and pay the full ZAR 55,308 on 2026-07-21, once the balance can safely absorb it. Confirmed base salary raised to ZAR 33440 effective going forward per employer update on 2026-06-28; open-deal commissions remain pending, not confirmed income."
request_109,507.45,not_affordable,not_recommended,none,2024-05-15,none,"Not recommended right now: only EUR 507.45 can be paid without dropping below the EUR 1,700 you want to keep. Committed expenses over the next 90 days use up the remaining headroom, so no full, partial or installment plan stays safe by 2024-05-26."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69 starting 2025-08-06, totaling ZAR 23,246.07. This keeps the balance at or above ZAR 11,200 at every step. Client submitted an invoice approved for settlement 2025-08-15 (WorkPort); not yet settled at message time, so not counted as confirmed cash."
request_111,14314834.85,affordable_with_plan,full_payment,2026-04-03:16625000,,reduce_to:event_10302:335350|stop:event_10264,"Pay IDR 16,625,000 in full on 2026-04-03. This keeps at least IDR 23,022,800 available through the 90-day forecast. This requires reducing dining to its minimum; stopping cloud_storage to free up enough cash. Employment with HarborWorks has ended; no further recurring salary is confirmed after the final settlement. Final settlement amount/date not yet provided."
request_112,252.16,affordable_later,wait,2024-08-15:271.70,2024-08-15,none,"Wait and pay the full EUR 271.70 on 2024-08-15, once the balance can safely absorb it."
request_113,21145.06,affordable_later,wait,2026-11-15:36500,2026-11-15,none,"Wait and pay the full INR 36,500 on 2026-11-15, once the balance can safely absorb it. EV charging wallet payment (event_10521) confirmed at INR 393.22 per receipt image_16."
request_114,0.0,not_affordable,not_recommended,none,,none,"Not recommended right now: no part of this can be paid without dropping below the INR 113,400 you want to keep. Committed expenses over the next 90 days consume the available headroom before 2026-01-14. Next payroll cycle confirmed at INR 148200 (described as reduced) due to approved unpaid leave; one-off adjustment, not a permanent change."
request_115,14426.44,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Wait and pay the full INR 80,500 on 2024-11-15, once the balance can safely absorb it."
request_116,1840.92,not_affordable,not_recommended,none,,none,"Not recommended right now: only INR 1,840.92 can be paid without dropping below the INR 80,300 you want to keep. Committed expenses over the next 90 days use up the remaining headroom, so no full, partial or installment plan stays safe by 2025-04-16."
request_117,835.82,affordable_later,wait,2026-07-15:880,2026-07-15,none,"Wait and pay the full EUR 880 on 2026-07-15, once the balance can safely absorb it. Confirmed salary raised to EUR 1188 effective 2026-07-15 (from EUR 926.64)."
request_118,707.8,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-02-15,none,"Use 3 installments of EUR 255.87 starting 2024-12-07, totaling EUR 767.61. This keeps the balance at or above EUR 600 at every step."
request_119,0.0,not_affordable,not_recommended,none,,none,"Not recommended right now: no part of this can be paid without dropping below the INR 151,200 you want to keep. Committed expenses over the next 90 days consume the available headroom before 2025-07-17. Regular salary of INR 176000 resumes 2025-05-15; a new recurring childcare deduction begins the same month but no amount was given."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 in full on 2026-04-06. This keeps at least IDR 20,050,300 available through the 90-day forecast."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 in full on 2024-03-03. This keeps at least USD 800 available through the 90-day forecast.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33 starting 2025-08-05, totaling IDR 21,380,319.99. This keeps the balance at or above IDR 12,588,500 at every step. Client approved an invoice for IDR 15,390,000 with settlement expected 2025-08-15, but it has not settled yet; other submitted invoices remain unapproved and should not be counted."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 in full on 2026-01-07. This keeps at least IDR 18,091,200 available through the 90-day forecast. TaskSprint's next weekly payout was still pending/unsettled as of 2026-01-06; do not count until settlement is confirmed."
request_124,1352.75,not_affordable,not_recommended,none,2024-08-15,none,"Not recommended right now: only EUR 1,352.75 can be paid without dropping below the EUR 1,600 you want to keep. Committed expenses over the next 90 days use up the remaining headroom, so no full, partial or installment plan stays safe by 2024-08-20."
request_125,6468.0,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,"Pay ZAR 6,468 in full on 2025-11-06. This keeps at least ZAR 11,300 available through the 90-day forecast. Salary of EUR 748 confirmed for 2025-11-15, converted at the settlement-date rate; consistent with existing payroll pattern."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 in full on 2026-07-03. This keeps at least INR 129,700 available through the 90-day forecast. Client approved an invoice for INR 152000 with settlement expected 2026-07-15 (ClientDesk); an approved-but-unsettled receivable, so not counted as confirmed cash."
request_127,0.0,not_affordable,not_recommended,none,,none,"Not recommended right now: no part of this can be paid without dropping below the ZAR 41,000 you want to keep. Committed expenses over the next 90 days consume the available headroom before 2024-10-18. Regular salary of ZAR 50160 resumes 2024-09-15; a new recurring childcare payment (expense) also begins that month per employer notice."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168 in full on 2025-02-07. This keeps at least ZAR 42,600 available through the 90-day forecast. Quarterly performance bonus final amount and payment date not yet approved; do not count until confirmed."
